,namePlayer,value
373,Killian Hayes,7413955.0
374,Killian Hayes,9942114.0
375,Mason Plumlee,8000000.0
376,Mason Plumlee,8137500.0
377,Mason Plumlee,8525000.0
378,Rodney McGruder,5192307.0
379,Rodney McGruder,5000000.0
380,Saddiq Bey,2689920.0
381,Saddiq Bey,2824320.0
382,Saddiq Bey,2959080.0
383,Saddiq Bey,4556983.0
384,Saddiq Bey,6498258.0
385,Sekou Doumbouya,3449400.0
386,Sekou Doumbouya,3613680.0
387,Sekou Doumbouya,5539771.0
388,Sekou Doumbouya,7744600.0
389,Tyler Cook  E,99020.0
390,Wayne Ellington,1620564.0
391,Zhaire Smith,1068200.0
392,Zhaire Smith,1068200.0
393,Zhaire Smith,1068200.0
394,Alen Smailagic,1517981.0
395,Alen Smailagic,1782621.0
396,Alen Smailagic,1930681.0
397,Andrew Wiggins,29542010.0
398,Andrew Wiggins,31579390.0
399,Andrew Wiggins,33616770.0
400,Damion Lee,1762796.0
401,Damion Lee,1910860.0
402,Draymond Green,22246956.0
403,Draymond Green,24026712.0
404,Draymond Green,25806468.0
405,Draymond Green,27586224.0
406,Eric Paschall,1517981.0
407,Eric Paschall,1782621.0
408,Eric Paschall,2228276.0
409,James Wiseman,8730240.0
410,James Wiseman,9166800.0
411,James Wiseman,9603360.0
412,James Wiseman,12119440.0
413,James Wiseman,15815869.0
414,Jordan Poole,2063280.0
415,Jordan Poole,2161440.0
416,Jordan Poole,3901399.0
417,Jordan Poole,5813085.0
418,Kelly Oubre,14375000.0
419,Kent Bazemore,1620564.0
420,Kevon Looney,4821429.0
421,Kevon Looney,5178572.0
422,Klay Thompson,35361360.0
423,Klay Thompson,37980720.0
424,Klay Thompson,40600080.0
425,Klay Thompson,43219440.0
426,Mychal Mulder,1517981.0
427,Mychal Mulder,1782621.0
428,Mychal Mulder,2228276.0
429,Shaun Livingston,666667.0
430,Shaun Livingston,666667.0
431,Stephen Curry,43006362.0
432,Stephen Curry,45780966.0
433,Avery Bradley,5635000.0
434,Avery Bradley,5916750.0
435,Ben McLemore,2283034.0
436,Bruno Caboclo,361256.0
437,Chris Clemons,1517981.0
438,Christian Wood,13015874.0
439,Christian Wood,13666667.0
440,Christian Wood,14317459.0
441,Dante Exum,9600000.0
442,Danuel House,3717000.0
443,Danuel House,3894000.0
444,DaQuan Jeffries,1445697.0
445,DaQuan Jeffries,1701593.0
446,DaQuan Jeffries,2126991.0
447,David Nwaba,1824003.0
448,DeMarcus Cousins,1620564.0
449,DJ Augustin,6666667.0
450,DJ Augustin,7000000.0
451,DJ Augustin,7333333.0
452,DJ Wilson,4548280.0
453,DJ Wilson,6422171.0
454,Eric Gordon,16869276.0
455,Eric Gordon,18218818.0
456,Eric Gordon,19568360.0
457,Eric Gordon,20917902.0
458,Jae'Sean Tate,1445697.0
459,Jae'Sean Tate,1517981.0
460,Jae'Sean Tate,1782621.0
461,Jae'Sean Tate,2228276.0
462,Jerian Grant,50000.0
463,John Wall,41254920.0
464,John Wall,44310840.0
465,John Wall,47366760.0
466,Kelly Olynyk,12819649.0
467,Kevin Porter Jr,1717981.0
468,Kevin Porter Jr,1782621.0
469,Kevin Porter Jr,3217631.0
470,Kevin Porter Jr,4826447.0
471,KJ Martin,898310.0
472,KJ Martin,1517981.0
473,KJ Martin,1782621.0
474,KJ Martin,1930681.0
475,Mason Jones,61528.0
476,Sterling Brown,1620564.0
477,Troy Williams,122741.0
478,Troy Williams,122741.0
479,Troy Williams,122741.0
480,Aaron Holiday,2345640.0
481,Aaron Holiday,3980551.0
482,Aaron Holiday,5791702.0
483,Brian Bowen II,1669178.0
484,Caris LeVert,16203704.0
485,Caris LeVert,17500000.0
486,Caris LeVert,18796296.0
487,Domantas Sabonis,19800000.0
488,Domantas Sabonis,19800000.0
489,Domantas Sabonis,19800000.0
490,Domantas Sabonis,20700000.0
491,Doug McDermott,7333333.0
492,Edmond Sumner,2160000.0
493,Edmond Sumner,2320000.0
494,Goga Bitadze,2957520.0
495,Goga Bitadze,3098400.0
496,Goga Bitadze,4765339.0
497,Goga Bitadze,6762016.0
498,JaKarr Sampson,1620564.0
499,Jalen Lecque,1517981.0
500,Jeremy Lamb,10500000.0
501,Jeremy Lamb,10500000.0
502,Justin Holiday,5720400.0
503,Justin Holiday,6006420.0
504,Justin Holiday,6292440.0
505,Kelan Martin,1445697.0
506,Kelan Martin,1701593.0
507,Kelan Martin,2126991.0
508,Malcolm Brogdon,20700000.0
509,Malcolm Brogdon,21700000.0
510,Malcolm Brogdon,22600000.0
511,Monta Ellis,2245400.0
512,Monta Ellis,2245400.0
513,Myles Turner,18000000.0
514,Myles Turner,18000000.0
515,Myles Turner,18000000.0
516,Oshae Brissett,99020.0
517,TJ McConnell,3500000.0
518,TJ Warren,12000000.0
519,TJ Warren,12940000.0
520,Amir Coffey,1669178.0
521,Daniel Oturu,898310.0
522,Daniel Oturu,1517981.0
523,Daniel Oturu,1919247.0
524,DeMarcus Cousins,110998.0
525,Ivica Zubac,7000000.0
526,Ivica Zubac,7518518.0
527,Ivica Zubac,7518518.0
528,Kawhi Leonard,34379100.0
529,Kawhi Leonard,36016200.0
530,Luke Kennard,5273826.0
531,Luke Kennard,12727273.0
532,Luke Kennard,13745455.0
533,Luke Kennard,14763636.0
534,Luke Kennard,14763636.0
535,Marcus Morris,14883721.0
536,Marcus Morris,15627907.0
537,Marcus Morris,16372093.0
538,Marcus Morris,17116279.0
539,Nicolas Batum,1620564.0
540,Patrick Beverley,13333333.0
541,Patrick Beverley,14320987.0
542,Patrick Patterson,3077704.0
543,Paul George,35450412.0
544,Paul George,39344900.0
545,Paul George,42492492.0
546,Paul George,45640084.0
547,Paul George,48787676.0
548,Rajon Rondo,8250000.0
549,Rajon Rondo,8250000.0
550,Reggie Jackson,1620564.0
551,Serge Ibaka,9258000.0
552,Serge Ibaka,9720900.0
553,Terance Mann,1517981.0
554,Terance Mann,1782621.0
555,Terance Mann,1930681.0
556,Alex Caruso,2750000.0
557,Alfonzo McKinnie,1762796.0
558,Alfonzo McKinnie,1910860.0
559,Alfonzo McKinnie,2165298.0
560,Andre Drummond,554988.0
561,Anthony Davis,32742000.0
562,Anthony Davis,35361360.0
563,Anthony Davis,37980720.0
564,Anthony Davis,40600080.0
565,Anthony Davis,43219440.0
566,Ben McLemore,455090.0
567,Damian Jones,110998.0
568,Damian Jones  E,110998.0
569,Dennis Schroder,16000000.0
570,Jared Dudley,1620564.0
571,Jordan Bell,580062.0
572,Kentavious CaldwellPope,12073020.0
573,Kentavious CaldwellPope,13038862.0
574,Kentavious CaldwellPope,14004703.0
575,Kostas Antetokounmpo,1729217.0
576,Kyle Kuzma,3562178.0
577,Kyle Kuzma,13000000.0
578,Kyle Kuzma,13000000.0
579,Kyle Kuzma,13000000.0
580,LeBron James,39219566.0
581,LeBron James,41180544.0
582,LeBron James,44474988.0
583,Luol Deng,5000000.0
584,Luol Deng,5000000.0
585,Marc Gasol,2564753.0
586,Marc Gasol,2692991.0
587,Markieff Morris,1620564.0
588,Montrezl Harrell,9258000.0
589,Montrezl Harrell,9720900.0
590,Quinn Cook,1000000.0
591,Quinn Cook  W,797183.0
592,Talen HortonTucker,1517981.0
593,Talen HortonTucker,1897476.0
594,Wesley Matthews,3623000.0
595,Brandon Clarke,2602920.0
596,Brandon Clarke,2726880.0
597,Brandon Clarke,4343920.0
598,Brandon Clarke,6259589.0
599,Dakari Johnson,459414.0
600,De'Anthony Melton,9571712.0
601,De'Anthony Melton,8805976.0
602,De'Anthony Melton,8250000.0
603,De'Anthony Melton,8000000.0
604,Desmond Bane,1936440.0
605,Desmond Bane,2033160.0
606,Desmond Bane,2130240.0
607,Desmond Bane,3845083.0
608,Desmond Bane,5767625.0
