,DISPLAY_FIRST_LAST,SCHOOL,COUNTRY,PTS,AST,REB,ALL_STAR_APPEARANCES,DRAFT_YEAR
2394,Randy Livingston,Louisiana State,USA,3.8,2.0,1.4,0.0,1996
2395,Shaun Livingston,No College,USA,6.3,3.0,2.4,0.0,2004
2396,Ron Livingstone,Wyoming,USA,6.3,1.9,4.7,0.0,1949
2397,Horacio Llamas,Grand Canyon,USA,2.1,0.2,1.3,0.0,Undrafted
2398,Earl Lloyd,West Virginia State,USA,8.4,1.4,6.4,0.0,1950
2399,Lewis Lloyd,Drake,USA,13.2,2.9,3.1,0.0,1981
2400,Scott Lloyd,Arizona State,USA,4.6,1.0,3.0,0.0,1976
2401,Bob Lochmueller,Louisville,USA,3.7,0.8,2.6,0.0,1952
2402,Robert Lock,Kentucky,USA,1.5,0.2,1.6,0.0,1988
2403,Darrell Lockhart,Auburn,USA,2.0,0.0,1.5,0.0,1983
2404,Ian Lockhart,Tennessee,USA,4.0,0.0,0.0,0.0,Undrafted
2405,Kevin Loder,Alabama State,USA,5.9,1.2,2.3,0.0,1981
2406,Don Lofgran,San Francisco,USA,6.1,1.0,3.9,0.0,1950
2407,Zach Lofton,New Mexico State,USA,0.0,0.0,0.0,0.0,Undrafted
2408,Johnny Logan,Indiana,USA,12.4,3.0,4.6,0.0,Undrafted
2409,Brad Lohaus,Iowa,USA,5.9,1.1,2.8,0.0,1987
2410,Art Long,Cincinnati,USA,3.5,0.5,3.3,0.0,Undrafted
2411,Grant Long,Eastern Michigan,USA,9.5,1.7,6.1,0.0,1988
2412,John Long,Detroit,USA,13.6,1.9,2.8,0.0,1978
2413,Paul Long,Wake Forest,USA,3.9,0.8,0.8,0.0,1967
2414,Shawn Long,Louisiana-Lafayette,USA,8.2,0.7,4.7,0.0,Undrafted
2415,Luc Longley,New Mexico,USA,7.2,1.5,4.9,0.0,1991
2416,Kevon Looney,UCLA,USA,3.9,1.6,4.2,,2015
2417,Brook Lopez,Stanford,USA,11.4,0.7,5.0,,2008
2418,Felipe Lopez,St. John's,Dominican Republic,5.8,1.0,2.4,0.0,1998
2419,Raul Lopez,Real Madrid,Spain,6.5,3.8,1.7,0.0,2001
2420,Robin Lopez,Stanford,USA,8.2,0.9,4.1,,2008
2421,Ryan Lorthridge,Jackson State,USA,7.4,2.7,1.9,0.0,Undrafted
2422,Jim Loscutoff,Oregon,USA,6.2,0.7,5.6,0.0,1955
2423,Plummer Lott,Seattle,USA,2.2,0.6,1.8,0.0,1967
2424,Kevin Loughery,St. John's,USA,15.3,3.7,3.0,0.0,1962
2425,Bob Love,Southern,USA,17.6,1.4,5.9,3.0,1965
2426,Kevin Love,UCLA,USA,5.8,1.3,3.3,,2008
2427,Stan Love,Oregon,USA,6.8,0.8,4.0,0.0,1971
2428,Clyde Lovellette,Kansas,USA,17.0,1.6,9.5,3.0,1952
2429,Sidney Lowe,North Carolina State,USA,2.9,3.9,1.7,0.0,1983
2430,Chuck Lowery,Puget Sound,USA,2.3,0.7,1.0,0.0,1971
2431,Kyle Lowry,Villanova,USA,17.6,7.4,5.6,,2006
2432,Jordan Loyd,Indianapolis,USA,2.4,0.5,0.8,0.0,Undrafted
2433,Al Lucas,Fordham,USA,1.0,1.0,,0.0,Undrafted
